2024-12-14 17:26:58,568 markata      WARNING  wikilink [[new-caps-for-porta-john-20240805190712987.webp]] (new-caps-for-porta-john-20240805190712987.webp, None) no matches, defaulting to '/new-caps-for-porta-john-20240805190712987.webp'
2024-12-14 17:26:58,606 markata      WARNING  wikilink [[new-caps-for-porta-john-20240805190716762.webp]] (new-caps-for-porta-john-20240805190716762.webp, None) no matches, defaulting to '/new-caps-for-porta-john-20240805190716762.webp'
2024-12-18 03:03:32,186 markata      WARNING  wikilink [[gratitude-199.md-20240801124248777.webp]] (gratitude-199.md-20240801124248777.webp, None) no matches, defaulting to '/gratitude-199.md-20240801124248777.webp'
2024-12-18 03:03:33,512 markata      WARNING  wikilink [[obsidian-image-converter-20240731211310793.webp]] (obsidian-image-converter-20240731211310793.webp, None) no matches, defaulting to '/obsidian-image-converter-20240731211310793.webp'
2024-12-18 03:03:35,557 markata      WARNING  wikilink [[kustomize]] (kustomize, None) no matches, defaulting to '/kustomize'
2024-12-18 03:03:35,626 markata      WARNING  wikilink [[vim-gq-20240805122634078.webp]] (vim-gq-20240805122634078.webp, None) no matches, defaulting to '/vim-gq-20240805122634078.webp'
2024-12-18 03:03:35,662 markata      WARNING  wikilink [[vim-gq-20240805122700026.webp]] (vim-gq-20240805122700026.webp, None) no matches, defaulting to '/vim-gq-20240805122700026.webp'
2024-12-18 03:03:40,808 markata      WARNING  wikilink [[trying-obsidian-20240731135759007.webp]] (trying-obsidian-20240731135759007.webp, None) no matches, defaulting to '/trying-obsidian-20240731135759007.webp'
2024-12-18 03:03:40,924 markata      WARNING  wikilink [[trying-obsidian-20240804194656515.webp]] (trying-obsidian-20240804194656515.webp, None) no matches, defaulting to '/trying-obsidian-20240804194656515.webp'
2024-12-18 03:03:40,961 markata      WARNING  wikilink [[trying-obsidian-20240804194934445.webp]] (trying-obsidian-20240804194934445.webp, None) no matches, defaulting to '/trying-obsidian-20240804194934445.webp'
2024-12-18 03:03:41,131 markata      WARNING  wikilink [[blog-post]] (blog-post, None) no matches, defaulting to '/blog-post'
2024-12-18 03:03:41,266 markata      WARNING  wikilink [[Recent-Posts]] (Recent-Posts, None) no matches, defaulting to '/Recent-Posts'
